Date/Heure;Temperature (degC)
11/04/2025 15:50:50;23,26
11/04/2025 15:50:53;22,95
11/04/2025 15:50:56;22,97
11/04/2025 15:50:59;33,26
11/04/2025 15:51:02;33,15
11/04/2025 15:51:05;33,12
11/04/2025 15:51:08;32,06
11/04/2025 15:51:11;25,45
11/04/2025 15:51:14;24,53
11/04/2025 15:51:17;24,35
11/04/2025 15:51:20;24,29
11/04/2025 15:51:23;24,14
11/04/2025 15:51:26;23,63
11/04/2025 15:51:28;23,36
11/04/2025 15:51:30;23,27
11/04/2025 15:51:32;23,20
11/04/2025 15:51:35;23,28
11/04/2025 15:51:37;23,35
11/04/2025 15:51:39;23,24
11/04/2025 15:51:42;23,38
11/04/2025 15:51:44;23,45
11/04/2025 15:51:46;23,32
11/04/2025 15:51:48;23,15
11/04/2025 15:51:51;23,20
11/04/2025 15:51:53;23,20
11/04/2025 15:51:56;23,10
11/04/2025 15:51:59;23,21
11/04/2025 15:52:02;23,14
11/04/2025 15:52:05;23,17
11/04/2025 15:52:08;22,86
11/04/2025 15:52:11;22,98
11/04/2025 15:52:13;23,19
11/04/2025 15:52:15;23,22
11/04/2025 15:52:18;23,13
11/04/2025 15:52:21;22,95
11/04/2025 15:52:24;22,90
11/04/2025 15:52:27;23,15
11/04/2025 15:52:30;23,01
11/04/2025 15:52:33;23,20
11/04/2025 15:52:36;23,20
11/04/2025 15:52:39;22,96
11/04/2025 15:52:42;22,86
11/04/2025 15:52:45;22,81
11/04/2025 15:52:48;22,75
11/04/2025 15:52:51;22,87
11/04/2025 15:52:55;22,93
11/04/2025 15:52:58;22,84
11/04/2025 15:53:01;22,87
11/04/2025 15:53:04;23,03
11/04/2025 15:53:07;23,01
11/04/2025 15:53:10;23,19
11/04/2025 15:53:13;22,88
11/04/2025 15:53:16;23,00
11/04/2025 15:53:19;22,79
11/04/2025 15:53:22;23,08
11/04/2025 15:53:25;22,92
11/04/2025 15:53:28;23,03
11/04/2025 15:53:31;23,04
11/04/2025 15:53:34;22,85
11/04/2025 15:53:37;22,91
11/04/2025 15:53:40;22,75
11/04/2025 15:53:43;22,93
